datetime,open,high,low,close,boll_up,boll_down,atr,rsi,instrument,direction,offset,trade_price,volume,open_long,open_short,close_long,close_short
2017-12-31 23:54:00+08:00,13715.65,13715.65,13681.0,13707.92,,,,,,,,,,,,,
2017-12-31 23:55:00+08:00,13707.91,13707.91,13666.11,13694.92,,,,,,,,,,,,,
2017-12-31 23:56:00+08:00,13682.0,13694.94,13680.0,13680.0,,,,,,,,,,,,,
2017-12-31 23:57:00+08:00,13679.98,13679.98,13601.0,13645.99,,,,,,,,,,,,,
2017-12-31 23:58:00+08:00,13645.98,13646.0,13576.28,13600.0,,,,,,,,,,,,,
2017-12-31 23:59:00+08:00,13600.0,13600.0,13554.44,13568.0,,,,,,,,,,,,,
2018-01-01 00:00:00+08:00,13568.0,13569.99,13520.0,13533.68,,,,,,,,,,,,,
2018-01-01 00:01:00+08:00,13554.0,13554.0,13501.01,13530.0,,,,,,,,,,,,,
2018-01-01 00:02:00+08:00,13514.53,13575.0,13504.99,13575.0,,,,,,,,,,,,,
2018-01-01 00:03:00+08:00,13539.99,13575.0,13539.99,13554.58,,,,,,,,,,,,,
2018-01-01 00:04:00+08:00,13554.58,13569.97,13530.0,13530.12,,,,,,,,,,,,,
2018-01-01 00:05:00+08:00,13554.58,13560.89,13400.01,13515.26,,,,,,,,,,,,,
2018-01-01 00:06:00+08:00,13515.26,13533.77,13485.41,13499.98,,,,,,,,,,,,,
2018-01-01 00:07:00+08:00,13499.98,13530.0,13473.47,13530.0,,,,,,,,,,,,,
2018-01-01 00:08:00+08:00,13500.35,13568.66,13500.35,13556.15,,,,,,,,,,,,,
2018-01-01 00:09:00+08:00,13533.75,13547.73,13505.0,13520.0,,,,,,,,,,,,,
2018-01-01 00:10:00+08:00,13505.15,13519.99,13450.39,13499.96,,,,,,,,,,,,,
2018-01-01 00:11:00+08:00,13479.59,13479.59,13402.0,13440.03,,,,,,,,,,,,,
2018-01-01 00:12:00+08:00,13440.01,13461.23,13402.01,13440.0,,,,,,,,,,,,,
2018-01-01 00:13:00+08:00,13438.93,13458.96,13420.81,13430.52,,,,,,,,,,,,,
2018-01-01 00:14:00+08:00,13440.01,13459.99,13414.18,13440.01,,,,,,,,,,,,,
2018-01-01 00:15:00+08:00,13458.97,13459.0,13440.01,13440.02,,,,,,,,,,,,,
2018-01-01 00:16:00+08:00,13440.02,13450.0,13410.44,13440.0,,,,,,,,,,,,,
2018-01-01 00:17:00+08:00,13440.0,13450.0,13410.44,13440.01,,,,,,,,,,,,,
2018-01-01 00:18:00+08:00,13440.01,13449.95,13412.05,13439.94,,,,,,,,,,,,,
2018-01-01 00:19:00+08:00,13439.94,13459.0,13420.05,13459.0,,,,,,,,,,,,,
2018-01-01 00:20:00+08:00,13459.0,13500.06,13440.09,13499.77,,,,,,,,,,,,,
2018-01-01 00:21:00+08:00,13499.77,13550.87,13472.61,13530.89,,,,,,,,,,,,,
2018-01-01 00:22:00+08:00,13521.48,13521.48,13499.77,13521.24,,,,,,,,,,,,,
2018-01-01 00:23:00+08:00,13511.83,13521.24,13475.35,13521.12,,,,,,,,,,,,,
2018-01-01 00:24:00+08:00,13500.0,13521.0,13479.79,13500.0,,,,,,,,,,,,,
2018-01-01 00:25:00+08:00,13500.0,13521.24,13480.01,13521.24,,,,,,,,,,,,,
2018-01-01 00:26:00+08:00,13511.13,13545.37,13501.11,13538.73,,,,,,,,,,,,,
2018-01-01 00:27:00+08:00,13538.73,13545.37,13520.0,13538.73,,,,,,,,,,,,,
2018-01-01 00:28:00+08:00,13535.0,13535.0,13502.11,13515.0,,,,,,,,,,,,,
2018-01-01 00:29:00+08:00,13519.75,13536.56,13502.27,13529.49,,,,,,,,,,,,,
2018-01-01 00:30:00+08:00,13529.4,13529.4,13503.88,13528.04,,,,,,,,,,,,,
2018-01-01 00:31:00+08:00,13520.0,13529.14,13500.0,13510.98,,,,,,,,,,,,,
2018-01-01 00:32:00+08:00,13510.98,13513.17,13500.0,13500.0,,,,,,,,,,,,,
2018-01-01 00:33:00+08:00,13500.0,13509.98,13461.74,13464.16,,,,,,,,,,,,,
2018-01-01 00:34:00+08:00,13498.99,13500.0,13470.33,13499.97,,,,,,,,,,,,,
2018-01-01 00:35:00+08:00,13499.97,13499.97,13470.37,13499.97,,,,,,,,,,,,,
2018-01-01 00:36:00+08:00,13498.62,13498.62,13473.0,13496.95,,,,,,,,,,,,,
2018-01-01 00:37:00+08:00,13495.96,13495.97,13470.37,13473.0,,,,,,,,,,,,,
2018-01-01 00:38:00+08:00,13473.0,13475.02,13450.0,13470.41,,,,,,,,,,,,,
2018-01-01 00:39:00+08:00,13494.65,13495.94,13450.0,13493.75,,,,,,,,,,,,,
2018-01-01 00:40:00+08:00,13470.0,13495.73,13470.0,13493.73,,,,,,,,,,,,,
2018-01-01 00:41:00+08:00,13477.02,13550.87,13470.5,13550.87,,,,,,,,,,,,,
2018-01-01 00:42:00+08:00,13545.3,13560.0,13521.34,13550.0,,,,,,,,,,,,,
2018-01-01 00:43:00+08:00,13548.0,13599.99,13545.3,13560.11,,,,,,,,,,,,,
2018-01-01 00:44:00+08:00,13596.88,13690.87,13521.39,13535.0,,,,,,,,,,,,,
2018-01-01 00:45:00+08:00,13574.85,13598.99,13542.7,13581.56,,,,,,,,,,,,,
2018-01-01 00:46:00+08:00,13598.99,13603.76,13582.48,13598.99,,,,,,,,,,,,,
2018-01-01 00:47:00+08:00,13598.99,13598.99,13531.99,13548.2,,,,,,,,,,,,,
2018-01-01 00:48:00+08:00,13548.2,13584.65,13530.0,13530.0,,,,,,,,,,,,,
2018-01-01 00:49:00+08:00,13530.0,13569.66,13529.98,13531.7,,,,,,,,,,,,,
2018-01-01 00:50:00+08:00,13531.7,13531.7,13499.98,13510.0,,,,,,,,,,,,,
2018-01-01 00:51:00+08:00,13528.98,13528.98,13456.37,13462.49,,,,,,,,,,,,,
2018-01-01 00:52:00+08:00,13462.49,13524.5,13452.56,13471.61,,,,,,,,,,,,,
2018-01-01 00:53:00+08:00,13522.98,13574.05,13471.62,13529.01,,,,,,,,,,,,,
2018-01-01 00:54:00+08:00,13528.99,13571.74,13527.9,13543.87,,,,,,,,,,,,,
2018-01-01 00:55:00+08:00,13570.0,13570.0,13521.99,13530.98,,,,,,,,,,,,,
2018-01-01 00:56:00+08:00,13521.99,13530.98,13481.82,13530.98,,,,,,,,,,,,,
2018-01-01 00:57:00+08:00,13530.98,13530.98,13486.53,13520.89,,,,,,,,,,,,,
2018-01-01 00:58:00+08:00,13520.89,13520.89,13481.82,13510.85,,,,,,,,,,,,,
2018-01-01 00:59:00+08:00,13499.99,13520.78,13481.98,13510.85,,,,,,,,,,,,,
2018-01-01 01:00:00+08:00,13520.76,13520.76,13489.69,13500.98,,,,,,,,,,,,,
2018-01-01 01:01:00+08:00,13490.09,13517.91,13465.0,13480.01,,,,,,,,,,,,,
2018-01-01 01:02:00+08:00,13490.7,13490.7,13453.0,13453.0,,,,,,,,,,,,,
2018-01-01 01:03:00+08:00,13460.0,13479.0,13450.1,13450.1,,,,,,,,,,,,,
2018-01-01 01:04:00+08:00,13452.55,13452.55,13402.28,13402.28,,,,,,,,,,,,,
2018-01-01 01:05:00+08:00,13433.34,13469.99,13404.14,13469.99,,,,,,,,,,,,,
2018-01-01 01:06:00+08:00,13436.01,13479.0,13436.01,13478.98,,,,,,,,,,,,,
2018-01-01 01:07:00+08:00,13478.98,13479.0,13445.63,13445.63,,,,,,,,,,,,,
2018-01-01 01:08:00+08:00,13445.63,13470.0,13426.9,13445.63,,,,,,,,,,,,,
2018-01-01 01:09:00+08:00,13469.99,13469.99,13446.69,13468.0,,,,,,,,,,,,,
2018-01-01 01:10:00+08:00,13468.0,13469.99,13450.01,13469.99,,,,,,,,,,,,,
2018-01-01 01:11:00+08:00,13450.05,13517.78,13445.63,13492.09,,,,,,,,,,,,,
2018-01-01 01:12:00+08:00,13492.09,13530.98,13489.98,13492.14,,,,,,,,,,,,,
2018-01-01 01:13:00+08:00,13516.41,13550.66,13500.19,13550.66,,,,,,,,,,,,,
2018-01-01 01:14:00+08:00,13550.85,13578.0,13540.05,13578.0,,,,,,,,,,,,,
2018-01-01 01:15:00+08:00,13579.98,13595.89,13541.36,13560.91,,,,,,,,,,,,,
2018-01-01 01:16:00+08:00,13590.0,13592.71,13560.91,13562.65,,,,,,,,,,,,,
2018-01-01 01:17:00+08:00,13587.98,13589.0,13562.45,13586.0,,,,,,,,,,,,,
2018-01-01 01:18:00+08:00,13586.0,13586.0,13541.0,13541.2,,,,,,,,,,,,,
2018-01-01 01:19:00+08:00,13584.95,13584.95,13513.91,13568.86,,,,,,,,,,,,,
2018-01-01 01:20:00+08:00,13568.86,13585.0,13541.06,13568.27,,,,,,,,,,,,,
2018-01-01 01:21:00+08:00,13568.27,13584.98,13567.05,13575.0,,,,,,,,,,,,,
