"回测数据基于BINANCE交易所的ethusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.05,合约乘数为：1,盘口一跳为：0.05,合约方向：False(注：F 正向，T 反向)。'
'策略名为：AberrationBiasStrategy,回测指标为：total_net_pnl。'
'回测时间为：2020-10-06 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'boll_length': 120, 'boll_dev': 2.700000000000001, 'bias': 0.3400000000000001}",1953.0982799999995,1953.0982799999995,1.8856390940112049,26.66753522477582,5.19095888372092,0.16231824790022994,-0.7323880004423674,7,0.28792912513842744,0.014396456256921373
"{'boll_length': 120, 'boll_dev': 2.700000000000001, 'bias': 0.31000000000000005}",1917.51828,1917.51828,1.8837772032878495,26.10103092750888,5.096394099667765,0.15976373575705013,-0.7346523151999527,7,0.29900332225913623,0.014950166112956811
"{'boll_length': 120, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1902.239939999999,1902.239939999999,1.8583172426498236,25.398891927998587,5.055787215946841,0.16076827207319147,-0.7489460348870794,7,0.27906976744186046,0.013953488372093025
"{'boll_length': 120, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1877.9371199999994,1877.9371199999994,1.870864655586644,24.55446688610858,4.991195003322257,0.15781570512324997,-0.7648046804316576,7,0.26356589147286824,0.01317829457364341
"{'boll_length': 120, 'boll_dev': 2.800000000000001, 'bias': 0.31000000000000005}",1843.1670199999994,1843.1670199999994,1.8601298484264006,24.487928012164875,4.898782777408634,0.15602265070864918,-0.752683942506025,7,0.2901439645625692,0.01450719822812846
"{'boll_length': 100, 'boll_dev': 2.9000000000000012, 'bias': 0.31000000000000005}",1834.4996199999996,1834.4996199999996,1.6997193183421964,12.708955104556699,4.875746498338878,0.17000828479527438,-1.443470060998372,15,0.34551495016611294,0.017275747508305645
"{'boll_length': 160, 'boll_dev': 2.500000000000001, 'bias': 0.25}",1833.5849600000004,1833.5849600000004,1.8494235876106622,19.21071670012998,4.873315508305651,0.15617501993582253,-0.9544594241960765,9,0.3089700996677741,0.015448504983388704
"{'boll_length': 100, 'boll_dev': 2.800000000000001, 'bias': 0.31000000000000005}",1817.73378,1817.73378,1.6913708867673116,12.938717342354998,4.831186126245851,0.16940941695021075,-1.40487942653298,15,0.36323366555924697,0.018161683277962345
"{'boll_length': 160, 'boll_dev': 2.3000000000000007, 'bias': 0.25}",1810.5269600000001,1810.5269600000001,1.6894211416362561,10.407773781308356,4.812031787375411,0.16898545849601265,-1.7395910000000003,4,0.3333333333333333,0.016666666666666666
"{'boll_length': 140, 'boll_dev': 2.0000000000000004, 'bias': 0.25}",1802.4133200000006,1802.4133200000006,1.6533227830651016,14.222950198736433,4.790467295681063,0.17196194827779682,-1.2672569999999905,4,0.40420819490586934,0.020210409745293468
"{'boll_length': 120, 'boll_dev': 2.9000000000000012, 'bias': 0.31000000000000005}",1800.6235399999998,1800.6235399999998,1.8721323314099434,23.390960862964167,4.785710405315613,0.15172454356629245,-0.7697946016621309,7,0.2724252491694352,0.01362126245847176
"{'boll_length': 160, 'boll_dev': 2.500000000000001, 'bias': 0.31000000000000005}",1790.5391800000007,1790.5391800000007,1.7171802476053937,18.633982233426295,4.758908119601327,0.1645614692897367,-0.9608999072608682,9,0.26688815060908083,0.013344407530454041
"{'boll_length': 140, 'boll_dev': 2.1000000000000005, 'bias': 0.25}",1786.8351400000001,1786.8351400000001,1.6666396787408415,13.300753084131536,4.749063495016601,0.1692283337301061,-1.3434089999999923,4,0.3864894795127353,0.019324473975636764
"{'boll_length': 100, 'boll_dev': 2.9000000000000012, 'bias': 0.28}",1784.4160399999996,1784.4160399999996,1.7107554972648986,12.306455931946434,4.742633993355484,0.16465854601510765,-1.44998369137927,15,0.35437430786268,0.017718715393133997
"{'boll_length': 160, 'boll_dev': 2.1000000000000005, 'bias': 0.25}",1780.0685000000003,1780.0685000000003,1.63514529815354,11.542419677901101,4.731079069767443,0.17188531786345515,-1.5421969999999965,4,0.3709856035437431,0.018549280177187155
"{'boll_length': 100, 'boll_dev': 2.700000000000001, 'bias': 0.31000000000000005}",1778.7259199999994,1778.7259199999994,1.6074798943029351,11.608822542023058,4.727510750830569,0.17472189270085398,-1.5322190631833232,12,0.3743078626799557,0.018715393133997782
"{'boll_length': 100, 'boll_dev': 2.2000000000000006, 'bias': 0.31000000000000005}",1770.5539200000003,1770.5539200000003,1.5183295878814964,12.21239362289739,4.705791149501666,0.18419666066196208,-1.4498008946258794,17,0.45182724252491696,0.022591362126245844
"{'boll_length': 100, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1769.9758599999996,1769.9758599999996,1.6970407732315755,12.234360451361074,4.704254777408643,0.16474971465705146,-1.446725284118216,15,0.3388704318936877,0.016943521594684385
"{'boll_length': 140, 'boll_dev': 2.0000000000000004, 'bias': 0.28}",1767.2075600000007,1767.2075600000007,1.6137789147748915,13.945139462634765,4.6968971694352195,0.1729997969779306,-1.2672569999999905,4,0.3754152823920266,0.018770764119601328
"{'boll_length': 160, 'boll_dev': 2.500000000000001, 'bias': 0.28}",1766.497620000001,1766.497620000001,1.7199940898100343,18.34479757118708,4.695010285714287,0.16225632228426706,-0.9629420074792854,9,0.2779623477297896,0.013898117386489479
"{'boll_length': 100, 'boll_dev': 2.800000000000001, 'bias': 0.28}",1758.6465200000002,1758.6465200000002,1.6965959917718871,12.449668476708805,4.674143574750831,0.1638190881242395,-1.4126051013246868,15,0.37209302325581395,0.018604651162790697
"{'boll_length': 160, 'boll_dev': 2.400000000000001, 'bias': 0.25}",1748.4228200000005,1748.4228200000005,1.6274140240560975,9.478616846931905,4.646970950166112,0.16986611858809322,-1.8445969999999943,5,0.3222591362126246,0.01611295681063123
"{'boll_length': 120, 'boll_dev': 2.700000000000001, 'bias': 0.28}",1740.0893799999997,1740.0893799999997,1.8063500689081058,23.417425618322415,4.62482227242524,0.15236534429069634,-0.7430745840134128,7,0.3122923588039867,0.015614617940199336
"{'boll_length': 160, 'boll_dev': 2.0000000000000004, 'bias': 0.25}",1738.10076,1738.10076,1.5878416843446541,11.945520861182244,4.619536903654481,0.17314983381186025,-1.455023000000001,4,0.38870431893687707,0.019435215946843856
"{'boll_length': 120, 'boll_dev': 2.9000000000000012, 'bias': 0.28}",1734.7794599999997,1734.7794599999997,1.8894027173804633,22.404342513492196,4.610709528239197,0.1452570279693494,-0.7743050075918498,7,0.2768549280177187,0.013842746400885935
"{'boll_length': 160, 'boll_dev': 2.2000000000000006, 'bias': 0.25}",1731.7417999999998,1731.7417999999998,1.6036255647077966,10.628284166098503,4.602636013289036,0.17086586204816565,-1.629370999999992,4,0.3576965669988926,0.017884828349944627
"{'boll_length': 160, 'boll_dev': 2.1000000000000005, 'bias': 0.28}",1731.6168400000001,1731.6168400000001,1.572380834786975,11.228246715562296,4.602303893687704,0.17424951046307607,-1.5421969999999965,4,0.3289036544850498,0.01644518272425249
"{'boll_length': 160, 'boll_dev': 1.9000000000000004, 'bias': 0.25}",1730.6236199999998,1730.6236199999998,1.5736597558368468,12.787985251086186,4.599664106312292,0.17401559462401878,-1.3533200000000034,15,0.40863787375415284,0.02043189368770764
"{'boll_length': 160, 'boll_dev': 2.1000000000000005, 'bias': 0.31000000000000005}",1729.44966,1729.44966,1.5525836260577466,11.214194165855602,4.5965439468438465,0.1762672444556623,-1.5421969999999965,4,0.3133997785160576,0.015669988925802878
"{'boll_length': 140, 'boll_dev': 2.2000000000000006, 'bias': 0.25}",1726.6513800000007,1726.6513800000007,1.6273480482733342,12.163277097637978,4.589106657807307,0.16791755074059322,-1.419560999999994,4,0.37320044296788485,0.018660022148394243
"{'boll_length': 140, 'boll_dev': 2.1000000000000005, 'bias': 0.28}",1725.5626800000002,1725.5626800000002,1.5975595234642956,12.844656243928725,4.586213102990019,0.17094888198255132,-1.3434089999999923,4,0.3599114064230343,0.017995570321151715
