"回测数据基于BINANCE交易所的btcusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.5,合约乘数为：1,盘口一跳为：0.5,合约方向：False(注：F 正向，T 反向)。'
'策略名为：AberrationBiasStrategy,回测指标为：total_net_pnl。'
'回测时间为：2020-10-06 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'boll_length': 380, 'boll_dev': 2.9000000000000012, 'bias': 0.25}",23388.24026,23388.24026,1.7360810666641098,33.24834770205729,62.161435906976855,1.1914006421168448,-7.034406783033269,48,0.22259136212624583,0.11129568106312292
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.40000000000000013}",23146.91874,23146.91874,1.1893805883876136,9.605954333388151,61.52004980730895,1.7282676384524778,-24.096428045203666,12,0.45182724252491696,0.22591362126245848
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.43000000000000016}",23146.91874,23146.91874,1.1893805883876136,9.605954333388151,61.52004980730895,1.7282676384524778,-24.096428045203666,12,0.45182724252491696,0.22591362126245848
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.4600000000000002}",23146.91874,23146.91874,1.1893805883876136,9.605954333388151,61.52004980730895,1.7282676384524778,-24.096428045203666,12,0.45182724252491696,0.22591362126245848
"{'boll_length': 360, 'boll_dev': 2.400000000000001, 'bias': 0.31000000000000005}",22840.06322,22840.06322,1.3742880512982747,12.962391679501245,60.7044869634552,1.5745645396324601,-17.620253873457123,20,0.2336655592469546,0.1168327796234773
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.28}",22506.1646,22506.1646,1.1803192310427937,9.600066903325022,59.81704877076412,1.7131630610607944,-23.44375807652434,12,0.47619047619047616,0.23809523809523808
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.4900000000000002}",22369.63784,22369.63784,1.1694314394306373,9.283383328863389,59.4541869501661,1.7229385736822083,-24.096428045203666,12,0.4496124031007752,0.2248062015503876
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.25}",22246.20398,22246.20398,1.1802900371316718,9.97026971321043,59.12612353488372,1.7015342930588515,-22.312539800727933,11,0.5094130675526024,0.2547065337763012
"{'boll_length': 380, 'boll_dev': 2.800000000000001, 'bias': 0.25}",22230.64664,22230.64664,1.6684528676222197,31.711131253388952,59.08477512292368,1.203408999334408,-7.010360640358504,48,0.2336655592469546,0.1168327796234773
"{'boll_length': 380, 'boll_dev': 2.500000000000001, 'bias': 0.31000000000000005}",22122.68548,22122.68548,1.3432065958360841,11.835595726251768,58.797835162790776,1.4905189448009728,-18.69165354383568,20,0.2159468438538206,0.1079734219269103
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.19}",22116.33262000001,22116.33262000001,1.2126160152150454,11.995631481202269,58.78095048504986,1.4686961158858207,-18.436989044434522,12,0.6157253599114064,0.3078626799557032
"{'boll_length': 260, 'boll_dev': 2.800000000000001, 'bias': 0.25}",22075.44636,22075.44636,1.5252531390894402,25.065660828451175,58.67228268438552,1.4608166954707695,-8.807047422800427,29,0.3122923588039867,0.15614617940199335
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.31000000000000005}",21992.98298,21992.98298,1.1586635829423368,9.127071837677471,58.453110910298996,1.721620160688558,-24.096428045203666,12,0.46068660022148394,0.23034330011074197
"{'boll_length': 260, 'boll_dev': 2.700000000000001, 'bias': 0.25}",21926.839700000004,21926.839700000004,1.3567409418215437,12.999067407048468,58.27731481727578,1.539281464556138,-16.86800984516062,35,0.3300110741971207,0.16500553709856036
"{'boll_length': 260, 'boll_dev': 2.800000000000001, 'bias': 0.19}",21857.063500000004,21857.063500000004,1.3919569116692807,9.723785773033136,58.09186312292371,1.373703864188947,-22.47793607363913,12,0.36766334440753046,0.18383167220376523
"{'boll_length': 360, 'boll_dev': 2.500000000000001, 'bias': 0.31000000000000005}",21638.53026,21638.53026,1.3171128751608283,11.357281696901307,57.511043880398795,1.607990013467736,-19.052561024266794,20,0.22259136212624583,0.11129568106312292
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.3400000000000001}",21632.34996,21632.34996,1.14766627177351,8.977409398363449,57.49461783388704,1.7211710848595747,-24.096428045203666,12,0.4584717607973422,0.2292358803986711
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.3700000000000001}",21613.522940000003,21613.522940000003,1.1470735393727836,8.969596198844961,57.4445792425249,1.721170030465991,-24.096428045203666,12,0.45625692137320045,0.22812846068660023
"{'boll_length': 360, 'boll_dev': 2.800000000000001, 'bias': 0.25}",21603.959780000005,21603.959780000005,1.4934969496962425,18.50274388573464,57.41916220598013,1.453585030241463,-11.676084322096887,20,0.2292358803986711,0.11461794019933555
"{'boll_length': 240, 'boll_dev': 1.9000000000000004, 'bias': 0.40000000000000013}",21579.09354,21579.09354,1.1188349941285665,8.530710695867239,57.35307253156143,1.7629401754808112,-25.295774653868087,12,0.4429678848283499,0.22148394241417496
"{'boll_length': 240, 'boll_dev': 1.9000000000000004, 'bias': 0.43000000000000016}",21579.09354,21579.09354,1.1188349941285665,8.530710695867239,57.35307253156143,1.7629401754808112,-25.295774653868087,12,0.4429678848283499,0.22148394241417496
"{'boll_length': 240, 'boll_dev': 1.9000000000000004, 'bias': 0.4600000000000002}",21579.09354,21579.09354,1.1188349941285665,8.530710695867239,57.35307253156143,1.7629401754808112,-25.295774653868087,12,0.4429678848283499,0.22148394241417496
"{'boll_length': 240, 'boll_dev': 1.8000000000000003, 'bias': 0.22}",21508.831799999993,21508.831799999993,1.2073232539607524,12.436519497540768,57.16633036544848,1.6305639523223818,-17.29489653777587,12,0.5537098560354374,0.2768549280177187
"{'boll_length': 360, 'boll_dev': 2.700000000000001, 'bias': 0.31000000000000005}",21456.136239999996,21456.136239999996,1.2743213715842066,10.356130401185679,57.026275720930336,1.6827428924764187,-20.718294776921226,20,0.20044296788482835,0.10022148394241417
"{'boll_length': 380, 'boll_dev': 2.600000000000001, 'bias': 0.25}",21444.1708,21444.1708,1.3202567053135679,10.708807253695705,56.99447388704326,1.4886866959720002,-20.024798553171696,14,0.2558139534883721,0.12790697674418605
"{'boll_length': 360, 'boll_dev': 2.600000000000001, 'bias': 0.31000000000000005}",21275.67286,21275.67286,1.2696402114798115,10.44628641701729,56.54663883056489,1.6667368945345338,-20.366733220469026,20,0.21373200442967885,0.10686600221483943
"{'boll_length': 240, 'boll_dev': 2.0000000000000004, 'bias': 0.40000000000000013}",21273.39426,21273.39426,1.094630825531549,8.041704787465214,56.54058275083057,1.7866758247155798,-26.453836372057975,12,0.4230343300110742,0.2115171650055371
"{'boll_length': 240, 'boll_dev': 2.0000000000000004, 'bias': 0.43000000000000016}",21273.39426,21273.39426,1.094630825531549,8.041704787465214,56.54058275083057,1.7866758247155798,-26.453836372057975,12,0.4230343300110742,0.2115171650055371
"{'boll_length': 240, 'boll_dev': 2.0000000000000004, 'bias': 0.4600000000000002}",21273.39426,21273.39426,1.094630825531549,8.041704787465214,56.54058275083057,1.7866758247155798,-26.453836372057975,12,0.4230343300110742,0.2115171650055371
"{'boll_length': 160, 'boll_dev': 2.9000000000000012, 'bias': 0.16}",21271.850360000004,21271.850360000004,1.3778694593953742,10.682052185746555,56.53647936212636,1.3271852783909046,-19.91363643437713,18,0.5492801771871539,0.27464008859357697
"{'boll_length': 360, 'boll_dev': 2.400000000000001, 'bias': 0.22}",21145.732000000004,21145.732000000004,1.3921851711148856,14.420196792628236,56.20128106312299,1.4890448118408082,-14.663969087308127,14,0.3554817275747508,0.1777408637873754
"{'boll_length': 280, 'boll_dev': 2.800000000000001, 'bias': 0.19}",21115.766000000003,21115.766000000003,1.4858541598774575,12.240551957706096,56.121637209302406,1.2437766002823778,-17.25066489890311,12,0.3588039867109635,0.17940199335548174
